SummitName,Latitude,Longitude,Reference,Points,OSM_Node_ID
Ben Macdui,57.07037,-3.6691,GM/ES-001,10,54668521
Braeriach,57.07831,-3.72837,GM/ES-002,10,54667662
Cairn Toul,57.05441,-3.71077,GM/ES-003,10,54668524
Beinn a'Bhuird - North Top,57.08759,-3.49937,GM/ES-004,10,2965253469
Beinn Mheadhoin,57.09585,-3.61146,GM/ES-005,10,304585476
Ben Avon - Leabaidh an Daimh Bhuidhe,57.09935,-3.43444,GM/ES-006,10,1537480382
Beinn Bhrotain,57.00987,-3.7238,GM/ES-007,10,316786567
Lochnagar - Cac Carn Beag,56.96027,-3.24526,GM/ES-008,10,304811948
Sgor Gaoith,57.06856,-3.81086,GM/ES-009,10,382983081
Bynack More,57.13822,-3.58472,GM/ES-010,8,382988709
Beinn a'Chaorainn,57.09327,-3.57743,GM/ES-011,8,304582672
Glas Maol,56.87306,-3.36824,GM/ES-012,8,304813800
Carn a'Mhaim,57.03687,-3.65838,GM/ES-013,8,304585475
Mount Keen,56.96975,-2.97362,GM/ES-014,6,304816194
Culardoch,57.07336,-3.33187,GM/ES-015,6,2436964132
Ben Tirran,56.8587,-3.02917,GM/ES-016,4,5311369441
Creag Mhor,57.12426,-3.55842,GM/ES-017,4,927145288
Morven,57.12264,-3.03088,GM/ES-018,4,2418815035
Conachcraig,56.96428,-3.18655,GM/ES-019,4,2436964142
Ben Rinnes,57.40328,-3.2415,GM/ES-021,4,863758721
Creag nan Gabhar,56.94051,-3.39101,GM/ES-022,4,2436863351
Brown Cow Hill,57.12439,-3.28823,GM/ES-023,4,2437253490
Geal Charn,57.19601,-3.50674,GM/ES-024,4,927181712
Carn na Drochaide,57.02742,-3.43916,GM/ES-025,4,1851608842
Sgor Mor,57.00329,-3.63595,GM/ES-026,4,2436964206
Meall a'Bhuachaille,57.18354,-3.6711,GM/ES-027,4,600215601
Monamenach,56.82019,-3.35155,GM/ES-028,4,1548004009
Carn Mor,57.24988,-3.21848,GM/ES-029,4,1537482001
Carn Ealasaid,57.19025,-3.27952,GM/ES-030,4,1537481340
Corryhabbie Hill,57.34462,-3.19641,GM/ES-031,4,2439074809
Mount Battock,56.94926,-2.74196,GM/ES-032,4,2216858221
Cook's Cairn,57.33566,-3.16065,GM/ES-033,4,2418883561
Mona Gowan,57.13856,-3.09886,GM/ES-034,4,2437301246
Mount Blair,56.75087,-3.3631,GM/ES-035,4,2114992035
Geallaig Hill,57.06928,-3.15951,GM/ES-036,4,1775060548
Badandun Hill,56.79569,-3.29917,GM/ES-037,4,2436818338
Creagan a'Chaise,57.29911,-3.48823,GM/ES-038,4,2442929664
The Buck,57.29734,-2.97705,GM/ES-039,4,1537482542
Cnap Chaochan Aitinn,57.17253,-3.4144,GM/ES-040,4,2439138191
Carn a'Ghille Chearr,57.35104,-3.43144,GM/ES-041,4,1158423596
Hunt Hill,56.91195,-3.01978,GM/ES-042,4,2328390899
Mealna Letter (Duchray Hill),56.78926,-3.37416,GM/ES-043,4,1548003860
Cat Law,56.7363,-3.11498,GM/ES-044,2,2114961950
Hill of Wirren,56.85438,-2.78401,GM/ES-045,2,1485244518
Creag Bhalg,57.00331,-3.49688,GM/ES-046,2,2436964164
Pressendye,57.16879,-2.84425,GM/ES-047,2,2418815186
Corwharn,56.77205,-3.16552,GM/ES-048,2,2328317145
Ladylea Hill,57.23718,-3.09004,GM/ES-049,2,2418814564
The Coyles of Muick,57.0056,-3.10684,GM/ES-050,2,2436964216
Meikle Conval,57.41891,-3.18185,GM/ES-051,2,863758796
Carn Daimh,57.30795,-3.36023,GM/ES-052,2,968214229
Ben Newe,57.21534,-3.02528,GM/ES-053,2,1110813519
Tap o'Noth,57.35152,-2.85901,GM/ES-054,2,32709701
Meall Alvie,57.01175,-3.31294,GM/ES-055,2,2436964172
Crock,56.75444,-3.26706,GM/ES-056,2,2436818349
Little Conval,57.43807,-3.1774,GM/ES-057,2,861975097
Meall Mor,56.72652,-3.35258,GM/ES-058,2,2444393920
Kerloch,56.98117,-2.50091,GM/ES-059,2,2434911231
Coiliochbhar Hill,57.23506,-2.82401,GM/ES-060,2,2424623426
Bennachie - Oxen Craig,57.29275,-2.56109,GM/ES-061,2,2153423735
Lord Arthur's Hill,57.26625,-2.80841,GM/ES-062,2,2418814667
Hare Cairn,56.74656,-3.2408,GM/ES-063,2,2436818329
Creigh Hill,56.72022,-3.1931,GM/ES-064,1,2436818371
Benaquhallie,57.16744,-2.65245,GM/ES-065,1,2418814999
The Bochel,57.29343,-3.27511,GM/ES-066,1,2445406842
Creag Ghiubhais,57.04513,-3.13478,GM/ES-067,1,6184578118
Craiglich,57.13737,-2.7731,GM/ES-068,1,2417988774
Ben Aigan,57.51824,-3.15404,GM/ES-069,1,861978088
Hill of Fare,57.11613,-2.54354,GM/ES-070,1,1153081886
Hill of Foudland,57.38778,-2.66175,GM/ES-071,1,2419703515
Cairn William,57.24076,-2.57128,GM/ES-072,1,2418630594
Knock Hill,57.58404,-2.77584,GM/ES-073,1,866093137
Ord Ban,57.1542,-3.83372,GM/ES-074,1,2794109110
Strathfinella Hill,56.89896,-2.50554,GM/ES-075,1,2434913545
Mile Hill,56.70091,-3.1262,GM/ES-076,1,2444393932
Millstone Hill,57.2718,-2.5377,GM/ES-077,1,927925166
Craigendarroch,57.05546,-3.04758,GM/ES-078,1,835403957
Hill of Tillymorgan,57.40237,-2.58015,GM/ES-079,1,2419702991
Cairn-mon-earn,57.01796,-2.35962,GM/ES-080,1,1416191235
Knockan,57.50385,-3.08466,GM/ES-081,1,886099943
Meikle Balloch Hill,57.53267,-2.88495,GM/ES-082,1,903614180
Fourman Hill,57.50046,-2.71763,GM/ES-083,1,529959328
Bin of Cullen,57.66528,-2.87344,GM/ES-084,1,857350512
Hill of Garvock,56.81336,-2.44934,GM/ES-085,1,2245462492
Brimmond Hill,57.17303,-2.23957,GM/ES-086,1,868989810
Waughton Hill,57.60519,-2.06261,GM/ES-087,1,1355493050
Creag an Dail Bheag,57.06672,-3.39129,GM/ES-088,4,2436964180
