SummitName,Latitude,Longitude,Reference,Points,OSM_Node_ID
Cleeve Hill,51.9199,-2.0059,G/CE-001,1,6697476575
Walton Hill,52.41621,-2.08582,G/CE-002,1,926404083
Bredon Hill,52.06073,-2.06324,G/CE-003,1,300924099
Bardon Hill,52.71442,-1.31928,G/CE-004,1,1651815079
Wendover Woods,51.77242,-0.71117,G/CE-005,1,1430010075
High Willhays,50.6852,-4.01116,G/DC-001,4,325680713
Brown Willy,50.59059,-4.60274,G/DC-002,1,762003017
Kit Hill,50.51919,-4.29387,G/DC-003,1,1025328847
Christ Cross,50.83723,-3.47248,G/DC-005,1,11297971392
Carnmenellis,50.18306,-5.22932,G/DC-006,1,7895334432
Watch Croft,50.16503,-5.61347,G/DC-007,1,643879427
Hensbarrow Downs,50.38308,-4.81278,G/DC-008,1,11298069714
Scafell Pike,54.45426,-3.21168,G/LD-001,10,29877965
Helvellyn,54.527,-3.01751,G/LD-003,10,29730755
Skiddaw,54.65139,-3.14776,G/LD-004,10,321811440
Great Gable,54.48208,-3.2193,G/LD-005,8,29958559
Pillar,54.49748,-3.28113,G/LD-006,8,29961844
Fairfield,54.49705,-2.99165,G/LD-007,8,53942083
Blencathra - Hallsfell Top,54.63995,-3.04979,G/LD-008,8,5649488237
Grasmoor,54.57164,-3.27791,G/LD-009,8,29953931
St Sunday Crag,54.51194,-2.97584,G/LD-010,8,29730751
High Street,54.49169,-2.86486,G/LD-011,8,560046175
High Stile,54.52184,-3.2837,G/LD-012,8,11831393362
The Old Man of Coniston,54.37066,-3.12145,G/LD-013,8,5378256988
Kirk Fell,54.48332,-3.24412,G/LD-014,8,4891950620
Grisedale Pike,54.59175,-3.24207,G/LD-015,6,29953928
Red Screes,54.47058,-2.93257,G/LD-017,6,29728741
Stony Cove Pike,54.48206,-2.90008,G/LD-018,6,1788886481
High Raise,54.47596,-3.11127,G/LD-019,6,29766670
Dale Head,54.52724,-3.20228,G/LD-020,6,3100546652
Robinson,54.54081,-3.23508,G/LD-021,6,29954134
Seat Sandal,54.49486,-3.01403,G/LD-022,6,29728749
